Date : 2025-07-25 09:19:50
Directory : c:\MAIN FLUTTER\stockall
Total : 350 files,  582601 codes, 4551 comments, 13340 blanks, all 600492 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| WebAssembly Text Format |          4 |    346,265 |          0 |     10,249 |    356,514 |
| JavaScript              |          8 |    168,341 |         34 |         33 |    168,408 |
| Dart                    |        216 |     63,146 |      4,202 |      2,601 |     69,949 |
| JSON                    |         33 |      2,328 |          0 |          5 |      2,333 |
| XML                     |         48 |        979 |         57 |         60 |      1,096 |
| C++                     |         16 |        578 |        131 |        189 |        898 |
| CMake                   |          8 |        472 |          0 |         92 |        564 |
| HTML                    |          2 |        178 |         34 |         60 |        272 |
| GLSL                    |          1 |        126 |          0 |          0 |        126 |
| YAML                    |          3 |         88 |         85 |         19 |        192 |
| Swift                   |          6 |         75 |          7 |         21 |        103 |
| Markdown                |          2 |         13 |          0 |          9 |         22 |
| Properties              |          2 |          8 |          0 |          2 |         10 |
| Shell Script            |          1 |          4 |          1 |          0 |          5 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                  |        350 |    582,601 |      4,551 |     13,340 |    600,492 |
| . (Files)                                                                                                                          |          5 |        102 |         86 |         26 |        214 |
| android                                                                                                                            |         11 |        140 |         51 |         27 |        218 |
| android (Files)                                                                                                                    |          1 |          3 |          0 |          1 |          4 |
| android\app                                                                                                                        |          9 |        132 |         51 |         25 |        208 |
| android\app\src                                                                                                                    |          9 |        132 |         51 |         25 |        208 |
| android\app\src\debug                                                                                                              |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                                               |          7 |        126 |         43 |         23 |        192 |
| android\app\src\main (Files)                                                                                                       |          1 |         58 |         11 |         17 |         86 |
| android\app\src\main\res                                                                                                           |          6 |         68 |         32 |          6 |        106 |
| android\app\src\main\res\drawable                                                                                                  |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\drawable-v21                                                                                              |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\values                                                                                                    |          1 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night                                                                                              |          1 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night-v31                                                                                          |          1 |         12 |          7 |          1 |         20 |
| android\app\src\main\res\values-v31                                                                                                |          1 |         12 |          7 |          1 |         20 |
| android\app\src\profile                                                                                                            |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                                                     |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                             |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                             |         29 |        229 |          2 |         16 |        247 |
| assets\animations                                                                                                                  |         11 |         11 |          0 |          0 |         11 |
| assets\svgs                                                                                                                        |         18 |        218 |          2 |         16 |        236 |
| build                                                                                                                              |         49 |    517,208 |         53 |     10,329 |    527,590 |
| build\web                                                                                                                          |         49 |    517,208 |         53 |     10,329 |    527,590 |
| build\web (Files)                                                                                                                  |          7 |    167,811 |         50 |         40 |    167,901 |
| build\web\assets                                                                                                                   |         34 |      2,477 |          2 |         16 |      2,495 |
| build\web\assets (Files)                                                                                                           |          3 |          3 |          0 |          0 |          3 |
