"filename", "language", "C++", "CMake", "JSON", "YAML", "Dart", "TypeScript", "Swift", "HTML", "JavaScript", "PostCSS", "XML", "WebAssembly Text Format", "comment", "blank", "total"
"c:\MAIN FLUTTER\stockall\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 11, 2, 12
"c:\MAIN FLUTTER\stockall\assets\animations\premium.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\MAIN FLUTTER\stockall\assets\svgs\divide_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\animations\premium.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\MAIN FLUTTER\stockall\build\web\assets\assets\svgs\divide_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\MAIN FLUTTER\stockall\build\web\assets\packages\esc_pos_utils_plus\resources\capabilities.json", "JSON", 0, 0, -2119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2119
"c:\MAIN FLUTTER\stockall\build\web\assets\packages\flutter_inappwebview\assets\t_rex_runner\t-rex.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 1, 60
"c:\MAIN FLUTTER\stockall\build\web\assets\packages\flutter_inappwebview\assets\t_rex_runner\t-rex.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 16
"c:\MAIN FLUTTER\stockall\build\web\assets\packages\flutter_inappwebview_web\assets\web\web_support.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 556, 0, 0, 0, 8, 29, 593
"c:\MAIN FLUTTER\stockall\build\web\canvaskit\canvaskit.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1708, 0, -269, 1439
"c:\MAIN FLUTTER\stockall\build\web\canvaskit\chromium\canvaskit.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1700, 0, -240, 1460
