"filename", "language", "C++", "CMake", "JSON", "YAML", "Swift", "Dart", "Markdown", "TypeScript", "XML", "HTML", "Shell Script", "JavaScript", "GLSL", "PostCSS", "Properties", "WebAssembly Text Format", "comment", "blank", "total"
"c:\MAIN FLUTTER\stockall\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\MAIN FLUTTER\stockall\analysis_options.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\MAIN FLUTTER\stockall\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\MAIN FLUTTER\stockall\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 22, 19, 98
"c:\MAIN FLUTTER\stockall\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\MAIN FLUTTER\stockall\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\MAIN FLUTTER\stockall\android\app\src\main\res\values-night-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 7, 1, 20
"c:\MAIN FLUTTER\stockall\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 9, 1, 23
"c:\MAIN FLUTTER\stockall\android\app\src\main\res\values-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 7, 1, 20
"c:\MAIN FLUTTER\stockall\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 9, 1, 23
"c:\MAIN FLUTTER\stockall\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\MAIN FLUTTER\stockall\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
